"t Gyro";"abs Gyro";"t IMU";"abs IMU";"t GPS";"v GPS";"z GPS";"lat GPS";"lon GPS"
3.936157230E-1;2.065897217E-1;3.937377930E-1;9.624941167E0;7.800327841E1;1.585999966E1;2.543596191E2;5.078394182E1;6.050714330E0
3.985595710E-1;2.025221828E-1;3.986511240E-1;9.617788490E0;7.898845836E1;1.698999977E1;2.544903564E2;5.078410476E1;6.050705620E0
4.034729010E-1;1.978187561E-1;4.035644540E-1;9.649912366E0;7.998749888E1;1.632999992E1;2.553614502E2;5.078424990E1;6.050696410E0
4.083862310E-1;1.894849389E-1;4.084777840E-1;9.687462652E0;8.098569809E1;1.635000038E1;2.545897217E2;5.078439751E1;6.050688380E0
4.132995610E-1;1.796212320E-1;4.133911140E-1;9.777867142E0;8.198577757E1;1.605999947E1;2.550040894E2;5.078454554E1;6.050701730E0
4.182128910E-1;1.717838620E-1;4.183044440E-1;9.818228198E0;8.299889268E1;1.615999985E1;2.557828369E2;5.078469782E1;6.050709840E0
4.231567390E-1;1.628657078E-1;4.232482910E-1;9.874041532E0;8.398857335E1;1.594999981E1;2.543299561E2;5.078485116E1;6.050703740E0
4.280700690E-1;1.568000425E-1;4.281616220E-1;1.002245111E1;8.499640809E1;1.621999931E1;2.539489136E2;5.078501247E1;6.050730560E0
4.329833990E-1;1.508098007E-1;4.330749520E-1;1.013063133E1;8.598328210E1;1.642000008E1;2.537123413E2;5.078516653E1;6.050735430E0
4.378967290E-1;1.510274875E-1;4.379882820E-1;1.022043776E1;8.699290288E1;1.597999954E1;2.516149292E2;5.078530236E1;6.050733790E0
4.428100590E-1;1.598633692E-1;4.429016120E-1;1.029671761E1;8.799410142E1;1.602000046E1;2.498057861E2;5.078544419E1;6.050732650E0
4.477539070E-1;1.691479570E-1;4.478454590E-1;1.028700100E1;8.898774533E1;1.460999966E1;2.498877563E2;5.078557440E1;6.050718990E0
4.526672370E-1;1.813575445E-1;4.527587900E-1;1.023806870E1;8.999354825E1;1.422000027E1;2.507077637E2;5.078569834E1;6.050720990E0
4.575805670E-1;1.927196796E-1;4.576721200E-1;1.017369386E1;9.098776231E1;1.369999981E1;2.515661621E2;5.078582622E1;6.050708290E0
4.624938970E-1;2.058839305E-1;4.625854500E-1;1.009982760E1;9.199282705E1;1.134000015E1;2.514936523E2;5.078589427E1;6.050685550E0
4.674072270E-1;2.199707751E-1;4.674987800E-1;1.008806520E1;9.299100262E1;6.550000191E0;2.493646240E2;5.078588242E1;6.050673770E0
4.723510750E-1;2.344914862E-1;4.724426270E-1;1.012578300E1;9.399945840E1;6.349999905E0;2.492337646E2;5.078592891E1;6.050665520E0
4.772644050E-1;2.487809015E-1;4.773559580E-1;1.014414468E1;9.499391705E1;5.860000134E0;2.478886719E2;5.078598575E1;6.050671410E0
4.821777350E-1;2.636359265E-1;4.822692880E-1;1.009488237E1;9.599757220E1;5.519999981E0;2.477808838E2;5.078602672E1;6.050674770E0
4.870910650E-1;2.748246286E-1;4.871826180E-1;1.008052541E1;9.699217007E1;6.110000134E0;2.473701172E2;5.078608705E1;6.050667850E0
4.920043950E-1;2.904431121E-1;4.920959480E-1;1.001216137E1;9.799331486E1;7.969999790E0;2.468712769E2;5.078618780E1;6.050632080E0
4.969482420E-1;3.100324079E-1;4.970397950E-1;9.889770043E0;9.899253455E1;8.210000038E0;2.470050659E2;5.078627945E1;6.050602970E0
5.018615730E-1;3.322596192E-1;5.019531250E-1;9.799453405E0;9.999529319E1;8.050000191E0;2.470349121E2;5.078634897E1;6.050595160E0
5.067749030E-1;3.658197176E-1;5.068664560E-1;9.817147826E0;1.007272669E2;0.000000000E0;2.763999939E2;5.078421570E1;6.052463100E0
5.116882330E-1;4.068756530E-1;5.117797860E-1;9.740141098E0;1.009929842E2;7.949999809E0;2.638613281E2;5.078641247E1;6.050595780E0
5.166015630E-1;4.508258550E-1;5.166931160E-1;9.662879182E0;1.019964391E2;7.190000057E0;2.600499268E2;5.078645513E1;6.050599270E0
5.215454100E-1;5.021944067E-1;5.216369630E-1;9.629996348E0;1.029886410E2;8.140000343E0;2.560887451E2;5.078655026E1;6.050599870E0
5.264587410E-1;5.626105512E-1;5.265502930E-1;9.582560240E0;1.039919268E2;8.069999695E0;2.541763916E2;5.078662913E1;6.050608510E0
5.313720710E-1;6.214108769E-1;5.314636240E-1;9.523168208E0;1.050040653E2;8.119999886E0;2.504550171E2;5.078670850E1;6.050589460E0
